tipo_de_empresa,fundação_da_empresa,possui_mais_de_um_sócio,funcionários,meses_de_permanência,utiliza_serviços_financeiros,possuicontador,faz_conciliação_bancária,frequência_de_utilização_de_feature_do_sistema_módulo_financeiro,frequência_de_utilização_de_feature_do_sistema_emissão_de_nota_fiscal,frequência_de_utilização_de_feature_do_sistema_integração_bancária,frequência_de_utilização_de_feature_do_sistema_módulo_de_vendas,frequência_de_utilização_de_feature_do_sistema_relatórios,frequência_de_utilização_de_feature_do_sistema_utilização_de_apis_de_integração,contrato,emite_boletos,tipo_de_pagamento,receita_mensal,receita_total,churn
Pequena empresa,2004,Sim,até 5 funcionários,32,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,93.5,2970.8,Não
Pequena empresa,2019,Não,até 5 funcionários,52,Não,,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,Cartão de crédito - mês a mês,63.9,3334.95,Não
Pequena empresa,2016,Não,até 5 funcionários,32,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Cartão de crédito - pagamento único,64.85,2010.95,Não
Micro empresa,2021,Sim,6 ou mais funcionários,72,Não,,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Cartão de crédito - pagamento único,63.8,4684.3,Não
Pequena empresa,2020,Não,até 5 funcionários,51,Não,,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Mês-a-mês,1,Cartão de crédito - mês a mês,44.45,2181.55,Não
Pequena empresa,2017,Sim,6 ou mais funcionários,68,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Cartão de crédito - pagamento único,19.95,1303.25,Não
Pequena empresa,2003,Sim,até 5 funcionários,8,Não,,automática,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Boleto - mês a mês,43.35,371.4,Não
Pequena empresa,2018,Sim,até 5 funcionários,49,Não,,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Anual,0,Cartão de crédito - mês a mês,49.65,2409.9,Não
Micro empresa,2021,Sim,até 5 funcionários,72,Sim,Não ,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,Boleto - mês a mês,85.1,6155.4,Não
Pequena empresa,2020,Não,até 5 funcionários,9,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,95.5,829.1,Sim
Micro empresa,2020,Sim,até 5 funcionários,28,Sim,Não ,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - mês a mês,92.35,2602.9,Sim
Pequena empresa,2018,Não,até 5 funcionários,54,Sim,Não ,manual,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,0,Boleto - mês a mês,89.8,4667.0,Não
Pequena empresa,2021,Não,até 5 funcionários,11,Sim,Não ,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,74.55,824.75,Sim
Micro empresa,2017,Sim,6 ou mais funcionários,50,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Trimestral,0,Boleto - mês a mês,103.05,5153.5,Não
Micro empresa,2016,Sim,até 5 funcionários,69,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Boleto - pagamento único,116.0,8182.85,Não
Pequena empresa,2018,Não,até 5 funcionários,1,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,69.9,69.9,Não
Pequena empresa,2016,Sim,6 ou mais funcionários,68,Sim,Não ,manual,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Anual,0,Cartão de crédito - pagamento único,95.1,6683.4,Não
Pequena empresa,2016,Não,6 ou mais funcionários,40,Não,,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Trimestral,0,Boleto - mês a mês,40.25,1564.05,Não
Pequena empresa,2018,Sim,6 ou mais funcionários,31,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Boleto - mês a mês,25.75,755.6,Não
Micro empresa,2005,Não,6 ou mais funcionários,33,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Cartão de crédito - pagamento único,105.35,3465.05,Não
Pequena empresa,2015,Sim,até 5 funcionários,55,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Boleto - pagamento único,113.6,6292.7,Não
Pequena empresa,2021,Sim,6 ou mais funcionários,68,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Cartão de crédito - pagamento único,24.0,1664.3,Não
Micro empresa,2021,Sim,6 ou mais funcionários,12,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,Cartão de crédito - pagamento único,19.4,198.1,Não
Pequena empresa,2016,Sim,até 5 funcionários,71,Sim,Não ,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Cartão de crédito - pagamento único,86.1,6045.9,Não
Pequena empresa,2020,Não,até 5 funcionários,40,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - mês a mês,102.65,4108.15,Não
Micro empresa,2020,Sim,6 ou mais funcionários,64,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Trimestral,1,Boleto - pagamento único,92.85,5980.75,Não
Pequena empresa,2021,Sim,até 5 funcionários,53,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Trimestral,0,Cartão de crédito - pagamento único,97.75,5043.2,Não
Pequena empresa,2006,Não,até 5 funcionários,12,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - mês a mês,83.8,1029.75,Sim
Pequena empresa,2009,Não,até 5 funcionários,53,Não,,automática,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,54.45,2854.55,Sim
Pequena empresa,2019,Sim,até 5 funcionários,72,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Anual,1,Cartão de crédito - mês a mês,97.95,7114.25,Não
Pequena empresa,2021,Não,até 5 funcionários,46,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Boleto - pagamento único,19.95,907.05,Não
Pequena empresa,2021,Não,até 5 funcionários,40,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Boleto - mês a mês,24.6,973.95,Não
Pequena empresa,2016,Não,até 5 funcionários,12,Não,,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Mês-a-mês,1,Cartão de crédito - pagamento único,50.95,605.75,Não
Pequena empresa,2017,Não,até 5 funcionários,9,Sim,Não ,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - pagamento único,75.6,661.55,Não
Micro empresa,2017,Sim,6 ou mais funcionários,51,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,80.75,4116.9,Não
Pequena empresa,2018,Sim,6 ou mais funcionários,49,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Cartão de crédito - mês a mês,90.4,4494.65,Não
Pequena empresa,2011,Sim,até 5 funcionários,41,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,99.8,4259.3,Sim
Micro empresa,2020,Não,até 5 funcionários,56,Sim,Não ,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Trimestral,1,Cartão de crédito - mês a mês,60.25,3282.75,Não
Pequena empresa,2019,Não,até 5 funcionários,4,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Boleto - pagamento único,20.2,55.7,Não
Pequena empresa,2016,Sim,até 5 funcionários,20,Sim,Não ,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Trimestral,1,Boleto - mês a mês,64.15,1274.45,Não
Micro empresa,2018,Sim,6 ou mais funcionários,26,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Cartão de crédito - mês a mês,20.25,493.95,Não
Micro empresa,2017,Sim,6 ou mais funcionários,20,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Cartão de crédito - pagamento único,105.85,2239.65,Sim
Micro empresa,2016,Não,até 5 funcionários,7,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - mês a mês,75.45,480.75,Sim
Pequena empresa,2017,Não,até 5 funcionários,7,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,93.85,635.6,Sim
Pequena empresa,2016,Não,até 5 funcionários,51,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,99.0,5038.15,Não
Micro empresa,2018,Não,até 5 funcionários,4,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - mês a mês,80.3,324.2,Não
Micro empresa,2020,Não,até 5 funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,Cartão de crédito - mês a mês,19.55,19.55,Não
Pequena empresa,2021,Sim,6 ou mais funcionários,27,Sim,Sim,manual,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Mês-a-mês,0,Boleto - pagamento único,100.75,2793.55,Não
Pequena empresa,2021,Não,até 5 funcionários,22,Sim,Sim,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,100.75,2095.0,Sim
Pequena empresa,2020,Não,até 5 funcionários,12,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - mês a mês,53.75,648.65,Não
Micro empresa,2021,Sim,6 ou mais funcionários,3,Não,,automática,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - mês a mês,31.0,95.05,Sim
Micro empresa,2020,Sim,6 ou mais funcionários,34,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,1,Cartão de crédito - mês a mês,25.6,917.15,Não
Pequena empresa,2017,Sim,até 5 funcionários,24,Sim,Sim,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Trimestral,1,Boleto - pagamento único,58.35,1346.9,Não
Pequena empresa,2017,Não,até 5 funcionários,51,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Cartão de crédito - mês a mês,80.0,4242.35,Sim
Micro empresa,2013,Não,até 5 funcionários,14,Não,,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,46.35,672.7,Não
Pequena empresa,2016,Sim,até 5 funcionários,59,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,Boleto - pagamento único,113.75,6561.25,Não
Pequena empresa,2020,Não,até 5 funcionários,3,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,0,Boleto - pagamento único,90.4,268.45,Não
Micro empresa,2017,Sim,6 ou mais funcionários,65,Sim,Sim,manual,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,Boleto - pagamento único,109.3,7337.55,Não
Pequena empresa,2006,Não,até 5 funcionários,5,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - mês a mês,70.25,331.9,Sim
Micro empresa,2019,Sim,6 ou mais funcionários,59,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,Cartão de crédito - mês a mês,90.3,5194.05,Não
Pequena empresa,2020,Sim,6 ou mais funcionários,72,Não,,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Cartão de crédito - mês a mês,65.25,4478.85,Não
Micro empresa,2018,Sim,6 ou mais funcionários,62,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,100.15,6283.3,Sim
Pequena empresa,2019,Não,até 5 funcionários,28,Sim,Sim,manual,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Cartão de crédito - mês a mês,94.5,2659.4,Sim
Pequena empresa,2017,Não,até 5 funcionários,3,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Mês-a-mês,0,Boleto - mês a mês,60.65,196.9,Não
Pequena empresa,2018,Não,6 ou mais funcionários,19,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Cartão de crédito - mês a mês,24.1,439.2,Não
Pequena empresa,2018,Não,até 5 funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Boleto - mês a mês,19.5,19.5,Não
Pequena empresa,2017,Não,até 5 funcionários,24,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,85.95,2107.15,Não
Pequena empresa,2004,Não,até 5 funcionários,57,Sim,Não ,automática,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Trimestral,1,Boleto - pagamento único,53.5,3035.8,Não
Micro empresa,2020,Não,até 5 funcionários,72,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Cartão de crédito - mês a mês,25.45,1866.45,Não
Pequena empresa,2021,Não,até 5 funcionários,67,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Cartão de crédito - pagamento único,20.5,1430.95,Não
Pequena empresa,2019,Sim,6 ou mais funcionários,52,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,1,Cartão de crédito - mês a mês,20.85,1071.6,Não
Pequena empresa,2019,Sim,6 ou mais funcionários,71,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,Cartão de crédito - mês a mês,89.9,6457.15,Não
Micro empresa,2020,Sim,até 5 funcionários,26,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,Boleto - mês a mês,26.0,684.05,Não
Micro empresa,2019,Não,até 5 funcionários,35,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Boleto - mês a mês,113.2,3914.05,Não
Micro empresa,2016,Sim,6 ou mais funcionários,55,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Anual,1,Cartão de crédito - mês a mês,69.05,3842.6,Não
Micro empresa,2016,Sim,6 ou mais funcionários,33,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Boleto - mês a mês,20.1,670.35,Não
Pequena empresa,2021,Sim,até 5 funcionários,72,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Anual,1,Boleto - pagamento único,109.65,7880.25,Não
Pequena empresa,2021,Não,6 ou mais funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Boleto - mês a mês,19.2,19.2,Não
Pequena empresa,2021,Não,até 5 funcionários,10,Não,,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Boleto - mês a mês,33.9,298.45,Sim
Micro empresa,2005,Sim,até 5 funcionários,37,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Mês-a-mês,0,Boleto - pagamento único,90.0,3371.75,Não
Pequena empresa,2021,Não,até 5 funcionários,12,Não,,automática,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - mês a mês,34.0,442.45,Não
Pequena empresa,2016,Sim,6 ou mais funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,Boleto - mês a mês,20.4,20.4,Não
Pequena empresa,2019,Sim,até 5 funcionários,62,Não,,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Anual,1,Cartão de crédito - mês a mês,38.6,2345.55,Não
Micro empresa,2019,Não,até 5 funcionários,1,Não,,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Cartão de crédito - pagamento único,25.25,25.25,Não
Micro empresa,2020,Não,até 5 funcionários,18,Sim,Sim,automática,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - mês a mês,60.6,1156.35,Não
Pequena empresa,2013,Sim,até 5 funcionários,69,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,89.95,6143.15,Sim
Pequena empresa,2017,Não,até 5 funcionários,2,Sim,Não ,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,74.75,144.8,Não
Pequena empresa,2017,Sim,6 ou mais funcionários,19,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,Boleto - mês a mês,20.6,414.95,Não
Pequena empresa,2016,Não,até 5 funcionários,12,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,84.45,1059.55,Sim
Pequena empresa,2020,Não,até 5 funcionários,9,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,Boleto - mês a mês,20.4,181.8,Não
Pequena empresa,2019,Não,até 5 funcionários,27,Sim,Não ,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Trimestral,0,Boleto - pagamento único,81.7,2212.55,Não
Pequena empresa,2019,Não,6 ou mais funcionários,27,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,79.5,2180.55,Sim
Pequena empresa,2016,Sim,6 ou mais funcionários,1,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,0,Boleto - mês a mês,89.15,89.15,Sim
Micro empresa,2008,Não,até 5 funcionários,24,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Boleto - mês a mês,20.3,459.95,Não
Pequena empresa,2004,Não,até 5 funcionários,14,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,74.95,1036.75,Sim
Micro empresa,2012,Não,até 5 funcionários,32,Sim,Não ,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,74.4,2276.95,Sim
Micro empresa,2017,Não,até 5 funcionários,11,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,Boleto - mês a mês,20.0,211.95,Não
Pequena empresa,2021,Não,até 5 funcionários,1,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Boleto - mês a mês,25.0,25.0,Não
Pequena empresa,2013,Não,6 ou mais funcionários,38,Sim,Sim,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - mês a mês,80.45,3162.65,Não
Micro empresa,2020,Sim,6 ou mais funcionários,9,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Boleto - mês a mês,19.75,210.65,Não
Pequena empresa,2019,Sim,6 ou mais funcionários,54,Sim,Sim,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Anual,1,Cartão de crédito - mês a mês,65.65,3566.7,Não
Micro empresa,2019,Não,até 5 funcionários,29,Sim,Sim,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Cartão de crédito - mês a mês,71.0,2080.1,Não
Pequena empresa,2006,Sim,até 5 funcionários,44,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,89.2,4040.2,Não
Pequena empresa,2017,Sim,6 ou mais funcionários,59,Sim,Não ,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Boleto - pagamento único,86.75,5186.0,Não
Micro empresa,2020,Não,até 5 funcionários,3,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,55.3,196.15,Sim
Micro empresa,2018,Sim,6 ou mais funcionários,18,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Trimestral,1,Boleto - mês a mês,61.5,1087.45,Não
Pequena empresa,2013,Não,até 5 funcionários,67,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Cartão de crédito - mês a mês,25.1,1672.15,Não
Micro empresa,2017,Sim,6 ou mais funcionários,22,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - pagamento único,55.15,1206.05,Sim
Pequena empresa,2017,Não,6 ou mais funcionários,33,Não,,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Trimestral,0,Cartão de crédito - mês a mês,34.05,1113.95,Não
Pequena empresa,2019,Não,até 5 funcionários,5,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,Boleto - mês a mês,19.95,107.05,Não
Micro empresa,2017,Não,até 5 funcionários,2,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,Boleto - mês a mês,19.95,38.15,Não
Pequena empresa,2019,Sim,6 ou mais funcionários,72,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,Cartão de crédito - mês a mês,89.7,6339.3,Não
Pequena empresa,2019,Não,6 ou mais funcionários,9,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,Boleto - mês a mês,20.4,184.1,Não
Pequena empresa,2018,Sim,6 ou mais funcionários,67,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Boleto - mês a mês,26.3,1688.9,Não
Micro empresa,2016,Sim,até 5 funcionários,16,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,84.95,1378.25,Sim
Micro empresa,2016,Não,até 5 funcionários,8,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Boleto - mês a mês,20.7,137.6,Não
Pequena empresa,2017,Não,até 5 funcionários,5,Não,,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - mês a mês,43.25,219.0,Sim
Pequena empresa,2018,Sim,6 ou mais funcionários,23,Sim,Sim,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Trimestral,1,Cartão de crédito - mês a mês,48.35,1067.15,Sim
Pequena empresa,2016,Não,até 5 funcionários,1,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,79.55,79.55,Sim
