ID,Tipo de empresa,Fundação da empresa,Possui mais de um sócio,Funcionários,Meses de permanência ,Utiliza serviços financeiros,PossuiContador,Faz conciliação bancária,Frequência de utilização de feature do sistema: Módulo financeiro,Frequência de utilização de feature do sistema: Emissão de nota fiscal,Frequência de utilização de feature do sistema: Integração bancária,Frequência de utilização de feature do sistema: Módulo de vendas,Frequência de utilização de feature do sistema: Relatórios,Frequência de utilização de feature do sistema: Utilização de APIs de integração,Contrato,Emite boletos,Emite boletos,Tipo de pagamento,Receita mensal,Receita total,Churn
3008,Micro empresa,2012,Não,até 5 funcionários,32,Sim,Não ,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 74,40","R$ 2.276,95",Sim
3009,Micro empresa,2017,Não,até 5 funcionários,11,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,No,Boleto - mês a mês,"R$ 20,00","R$ 211,95",Não
3010,Pequena empresa,2021,Não,até 5 funcionários,1,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 25,00","R$ 25,00",Não
3011,Pequena empresa,2013,Não,6 ou mais funcionários,38,Sim,Sim,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 80,45","R$ 3.162,65",Não
3012,Micro empresa,2020,Sim,6 ou mais funcionários,9,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Boleto - mês a mês,"R$ 19,75","R$ 210,65",Não
3013,Pequena empresa,2019,Sim,6 ou mais funcionários,54,Sim,Sim,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 65,65","R$ 3.566,70",Não
3014,Micro empresa,2019,Não,até 5 funcionários,29,Sim,Sim,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Yes,Cartão de crédito - mês a mês,"R$ 71,00","R$ 2.080,10",Não
3015,Pequena empresa,2006,Sim,até 5 funcionários,44,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 89,20","R$ 4.040,20",Não
3016,Pequena empresa,2017,Sim,6 ou mais funcionários,59,Sim,Não ,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Boleto - pagamento único,"R$ 86,75","R$ 5.186,00",Não
3017,Micro empresa,2020,Não,até 5 funcionários,3,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 55,30","R$ 196,15",Sim
3018,Micro empresa,2018,Sim,6 ou mais funcionários,18,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Trimestral,1,Yes,Boleto - mês a mês,"R$ 61,50","R$ 1.087,45",Não
3019,Pequena empresa,2013,Não,até 5 funcionários,67,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - mês a mês,"R$ 25,10","R$ 1.672,15",Não
3020,Micro empresa,2017,Sim,6 ou mais funcionários,22,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - pagamento único,"R$ 55,15","R$ 1.206,05",Sim
3021,Pequena empresa,2017,Não,6 ou mais funcionários,33,Não,NaN,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Trimestral,0,No,Cartão de crédito - mês a mês,"R$ 34,05","R$ 1.113,95",Não
3022,Pequena empresa,2019,Não,até 5 funcionários,5,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 19,95","R$ 107,05",Não
3023,Micro empresa,2017,Não,até 5 funcionários,2,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 19,95","R$ 38,15",Não
3024,Pequena empresa,2019,Sim,6 ou mais funcionários,72,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,No,Cartão de crédito - mês a mês,"R$ 89,70","R$ 6.339,30",Não
3025,Pequena empresa,2019,Não,6 ou mais funcionários,9,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 20,40","R$ 184,10",Não
3026,Pequena empresa,2018,Sim,6 ou mais funcionários,67,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Boleto - mês a mês,"R$ 26,30","R$ 1.688,90",Não
3027,Micro empresa,2016,Sim,até 5 funcionários,16,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 84,95","R$ 1.378,25",Sim
3028,Micro empresa,2016,Não,até 5 funcionários,8,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 20,70","R$ 137,60",Não
3029,Pequena empresa,2017,Não,até 5 funcionários,5,Não,NaN,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 43,25","R$ 219,00",Sim
3030,Pequena empresa,2018,Sim,6 ou mais funcionários,23,Sim,Sim,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Trimestral,1,Yes,Cartão de crédito - mês a mês,"R$ 48,35","R$ 1.067,15",Sim
3031,Pequena empresa,2016,Não,até 5 funcionários,1,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 79,55","R$ 79,55",Sim
3032,Micro empresa,2012,Sim,até 5 funcionários,50,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 71,05","R$ 3.444,85",Sim
3033,Pequena empresa,2018,Não,até 5 funcionários,17,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - mês a mês,"R$ 19,45","R$ 369,05",Não
3034,Micro empresa,2016,Sim,até 5 funcionários,68,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - pagamento único,"R$ 110,80","R$ 7.553,60",Não
3035,Pequena empresa,2018,Não,até 5 funcionários,1,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,0,No,Boleto - pagamento único,"R$ 84,50","R$ 84,50",Sim
3036,Micro empresa,2015,Sim,até 5 funcionários,25,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 69,30","R$ 1.813,10",Não
3037,Pequena empresa,2016,Não,até 5 funcionários,67,Não,NaN,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Trimestral,1,Yes,Cartão de crédito - pagamento único,"R$ 49,35","R$ 3.321,35",Não
3038,Pequena empresa,2021,Não,até 5 funcionários,32,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,No,Cartão de crédito - mês a mês,"R$ 20,35","R$ 707,50",Não
3039,Micro empresa,2004,Sim,até 5 funcionários,67,Sim,Sim,manual,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Yes,Boleto - pagamento único,"R$ 105,60","R$ 7.112,15",Não
3040,Pequena empresa,2005,Sim,até 5 funcionários,72,Não,NaN,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 64,45","R$ 4.641,10",Não
3041,Pequena empresa,2020,Sim,até 5 funcionários,71,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 108,60","R$ 7.690,90",Sim
3042,Pequena empresa,2019,Não,6 ou mais funcionários,1,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 49,90","R$ 49,90",Não
3043,Pequena empresa,2017,Não,até 5 funcionários,46,Não,NaN,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Cartão de crédito - pagamento único,"R$ 30,30","R$ 1.380,10",Sim
3044,Micro empresa,2006,Não,até 5 funcionários,2,Não,NaN,automática,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 30,40","R$ 78,65",Sim
3045,Micro empresa,2017,Não,até 5 funcionários,1,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 45,40","R$ 45,40",Sim
3046,Micro empresa,2020,Sim,até 5 funcionários,48,Sim,Não ,automática,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Trimestral,1,Yes,Boleto - pagamento único,"R$ 65,65","R$ 3.094,65",Não
3047,Micro empresa,2018,Sim,até 5 funcionários,61,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Trimestral,1,Yes,Cartão de crédito - pagamento único,"R$ 103,30","R$ 6.518,35",Não
3048,Micro empresa,2016,Sim,até 5 funcionários,32,Sim,Não ,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,0,No,Cartão de crédito - pagamento único,"R$ 84,15","R$ 2.585,95",Sim
3049,Micro empresa,2021,Não,até 5 funcionários,2,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - pagamento único,"R$ 44,45","R$ 82,70",Não
3050,Micro empresa,2018,Não,até 5 funcionários,3,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - pagamento único,"R$ 19,75","R$ 58,85",Sim
3051,Micro empresa,2016,Não,até 5 funcionários,5,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,"R$ 85,40","R$ 425,90",Sim
3052,Micro empresa,2017,Sim,6 ou mais funcionários,71,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,No,Cartão de crédito - pagamento único,"R$ 89,90","R$ 6.342,70",Não
3053,Pequena empresa,2016,Sim,até 5 funcionários,37,Sim,Sim,automática,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 55,05","R$ 2.030,75",Não
3054,Pequena empresa,2016,Sim,6 ou mais funcionários,65,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - pagamento único,"R$ 104,10","R$ 6.700,05",Não
3055,Micro empresa,2020,Não,6 ou mais funcionários,67,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Trimestral,1,Yes,Cartão de crédito - pagamento único,"R$ 106,60","R$ 7.244,70",Não
3056,Pequena empresa,2017,Não,6 ou mais funcionários,49,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Cartão de crédito - mês a mês,"R$ 75,20","R$ 3.678,30",Sim
3057,Pequena empresa,2019,Sim,6 ou mais funcionários,50,Sim,Sim,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 70,50","R$ 3.486,65",Não
3058,Pequena empresa,2017,Sim,6 ou mais funcionários,25,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,No,Boleto - pagamento único,"R$ 19,60","R$ 411,15",Não
3059,Micro empresa,2016,Não,6 ou mais funcionários,17,Sim,Sim,automática,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Trimestral,1,Yes,Boleto - mês a mês,"R$ 55,85","R$ 937,50",Sim
3060,Micro empresa,2016,Sim,6 ou mais funcionários,64,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Yes,Boleto - mês a mês,"R$ 24,05","R$ 1.559,15",Não
3061,Pequena empresa,2021,Sim,até 5 funcionários,25,Não,NaN,automática,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Trimestral,1,Yes,Cartão de crédito - mês a mês,"R$ 38,10","R$ 970,40",Não
3062,Pequena empresa,2012,Não,até 5 funcionários,23,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 106,40","R$ 2.483,50",Sim
3063,Pequena empresa,2001,Sim,até 5 funcionários,24,Não,NaN,automática,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 34,25","R$ 828,20",Não
3064,Micro empresa,2017,Não,até 5 funcionários,37,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 100,05","R$ 3.810,55",Não
3065,Micro empresa,2019,Não,até 5 funcionários,21,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 68,65","R$ 1.493,20",Não
3066,Pequena empresa,2021,Não,até 5 funcionários,1,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 45,80","R$ 45,80",Não
3067,Micro empresa,2020,Não,até 5 funcionários,10,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 75,75","R$ 777,30",Não
3068,Pequena empresa,2019,Não,até 5 funcionários,6,Sim,Não ,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 84,40","R$ 556,35",Sim
3069,Pequena empresa,2021,Sim,até 5 funcionários,51,Sim,Sim,manual,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Trimestral,1,Yes,Cartão de crédito - mês a mês,"R$ 96,40","R$ 4.911,05",Não
3070,Micro empresa,2021,Não,até 5 funcionários,10,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 20,55","R$ 187,35",Não
3071,Micro empresa,2017,Não,até 5 funcionários,6,Não,NaN,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Mês-a-mês,0,No,Cartão de crédito - mês a mês,"R$ 50,95","R$ 307,60",Não
3072,Pequena empresa,2021,Sim,6 ou mais funcionários,47,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Boleto - mês a mês,"R$ 90,50","R$ 4.318,35",Não
3073,Micro empresa,2018,Sim,6 ou mais funcionários,61,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Trimestral,1,Yes,Boleto - pagamento único,"R$ 79,40","R$ 4.820,55",Não
3074,Micro empresa,2020,Não,até 5 funcionários,52,Não,NaN,automática,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - pagamento único,"R$ 58,75","R$ 3.038,55",Não
3075,Micro empresa,2021,Sim,6 ou mais funcionários,35,Sim,Sim,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,"R$ 59,45","R$ 2.136,90",Não
3076,Pequena empresa,2016,Sim,até 5 funcionários,71,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Yes,Cartão de crédito - pagamento único,"R$ 105,70","R$ 7.472,15",Não
3077,Micro empresa,2021,Não,até 5 funcionários,6,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - pagamento único,"R$ 56,25","R$ 389,10",Sim
3078,Pequena empresa,2021,Sim,até 5 funcionários,45,Sim,Não ,automática,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Anual,0,No,Cartão de crédito - mês a mês,"R$ 53,30","R$ 2.296,25",Não
3079,Micro empresa,2008,Não,até 5 funcionários,2,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 85,55","R$ 187,45",Sim
3080,Micro empresa,2017,Não,até 5 funcionários,4,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,"R$ 68,65","R$ 261,25",Sim
3081,Pequena empresa,2020,Não,até 5 funcionários,2,Não,NaN,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 24,30","R$ 38,45",Não
3082,Pequena empresa,2018,Não,até 5 funcionários,4,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,0,No,Boleto - pagamento único,"R$ 77,85","R$ 299,20",Sim
3083,Pequena empresa,2021,Não,até 5 funcionários,51,Sim,Sim,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Trimestral,0,No,Cartão de crédito - mês a mês,"R$ 59,90","R$ 3.043,60",Não
3084,Pequena empresa,2020,Sim,6 ou mais funcionários,60,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,No,Cartão de crédito - mês a mês,"R$ 23,95","R$ 1.506,40",Não
3085,Pequena empresa,2018,Não,até 5 funcionários,9,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,1,Yes,Boleto - mês a mês,"R$ 20,15","R$ 163,70",Não
3086,Pequena empresa,2019,Não,até 5 funcionários,3,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,"R$ 105,35","R$ 323,25",Sim
3087,Pequena empresa,2020,Não,até 5 funcionários,17,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,"R$ 95,65","R$ 1.640,00",Não
3088,Micro empresa,2016,Não,até 5 funcionários,8,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 87,05","R$ 762,10",Sim
3089,Pequena empresa,2019,Sim,6 ou mais funcionários,46,Sim,Não ,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,No,Boleto - mês a mês,"R$ 81,00","R$ 3.846,35",Não
3090,Micro empresa,2016,Não,até 5 funcionários,68,Sim,Não ,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 82,45","R$ 5.646,60",Não
3091,Pequena empresa,2016,Não,até 5 funcionários,1,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 53,50","R$ 53,50",Sim
3092,Micro empresa,2017,Sim,até 5 funcionários,4,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,No,Cartão de crédito - pagamento único,"R$ 20,50","R$ 79,05",Não
3093,Micro empresa,2021,Não,até 5 funcionários,1,Não,NaN,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 25,10","R$ 25,10",Sim
3094,Pequena empresa,2020,Não,6 ou mais funcionários,28,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Trimestral,1,Yes,Cartão de crédito - mês a mês,"R$ 54,40","R$ 1.516,60",Não
3095,Micro empresa,2016,Não,até 5 funcionários,39,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Trimestral,1,Yes,Cartão de crédito - mês a mês,"R$ 58,60","R$ 2.224,50",Não
3096,Pequena empresa,2019,Não,até 5 funcionários,11,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,0,No,Boleto - pagamento único,"R$ 84,80","R$ 888,75",Não
3097,Micro empresa,2019,Sim,até 5 funcionários,71,Não,NaN,automática,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 61,40","R$ 4.310,35",Não
3098,Pequena empresa,2021,Não,6 ou mais funcionários,2,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 20,40","R$ 42,90",Não
3099,Pequena empresa,2006,Sim,até 5 funcionários,30,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 79,65","R$ 2.365,15",Sim
3100,Micro empresa,2018,Não,até 5 funcionários,17,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,No,Boleto - mês a mês,"R$ 20,15","R$ 353,65",Não
3101,Micro empresa,2017,Sim,até 5 funcionários,55,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,"R$ 94,45","R$ 5.073,10",Não
3102,Micro empresa,2019,Não,até 5 funcionários,58,Sim,Sim,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,"R$ 79,80","R$ 4.526,85",Não
3103,Micro empresa,2021,Não,até 5 funcionários,5,Sim,Não ,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - pagamento único,"R$ 54,20","R$ 308,25",Sim
3104,Micro empresa,2004,Não,até 5 funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 19,45","R$ 19,45",Sim
3105,Pequena empresa,2006,Não,até 5 funcionários,9,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 74,05","R$ 678,45",Não
3106,Pequena empresa,2021,Não,até 5 funcionários,26,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,No,Cartão de crédito - pagamento único,"R$ 49,15","R$ 1.237,30",Não
3107,Micro empresa,2017,Não,até 5 funcionários,50,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - mês a mês,"R$ 19,40","R$ 1.023,95",Não
3108,Micro empresa,2016,Sim,até 5 funcionários,72,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - pagamento único,"R$ 113,65","R$ 8.182,75",Não
3109,Micro empresa,2021,Não,6 ou mais funcionários,43,Sim,Não ,manual,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Trimestral,1,Yes,Cartão de crédito - mês a mês,"R$ 106,00","R$ 4.532,30",Não
3110,Pequena empresa,2018,Não,até 5 funcionários,56,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Yes,Cartão de crédito - pagamento único,"R$ 25,95","R$ 1.444,05",Não
3111,Micro empresa,2017,Não,até 5 funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 19,10","R$ 19,10",Não
